gene_symbol,n,n_pos,n_neg,varity,alphamissense,gmvp
IGF1R,31,21,10,0.9952380952380953,0.9952380952380953,0.9904761904761905
IGF2R,31,3,28,1.0,0.9166666666666666,0.9285714285714285
IGHMBP2,58,36,22,0.9911616161616161,0.976010101010101,0.9911616161616161
IHH,30,27,3,0.7654320987654322,0.9012345679012346,0.8641975308641976
IL10RA,22,8,14,0.9285714285714286,0.9642857142857143,0.9285714285714286
IL11RA,13,7,6,0.9523809523809524,1.0,0.9523809523809524
IL12RB1,31,7,24,0.8392857142857143,0.9285714285714286,0.9166666666666667
IL17RD,14,4,10,0.65,0.65,0.55
IL2RG,76,53,23,0.9704675963904841,0.9630844954881049,0.9376538146021329
IL7R,24,7,17,0.9159663865546217,0.9411764705882353,0.9159663865546217
ILDR1,15,3,12,1.0,1.0,0.888888888888889
IMPG2,13,7,6,1.0,1.0,1.0
INF2,185,54,131,0.9930732258976533,0.9940627650551315,0.9990104608425219
INPP5K,21,7,14,1.0,1.0,0.9897959183673469
INPPL1,13,6,7,0.9523809523809524,1.0,1.0
INSR,53,38,15,0.9508771929824562,0.9491228070175439,0.9087719298245615
IPO8,6,3,3,1.0,1.0,1.0
IQSEC2,112,28,84,0.9549319727891157,0.9732142857142857,0.9319727891156462
IRF2BPL,33,11,22,0.9421487603305785,1.0,0.9338842975206612
IRF4,27,3,24,0.8055555555555556,0.9722222222222222,0.8611111111111112
IRF6,71,61,10,0.9704918032786884,0.9885245901639343,0.9540983606557377
IRF8,7,3,4,0.9166666666666666,1.0,0.9166666666666666
IRX5,8,3,5,1.0,1.0,1.0
ITGA2B,87,77,10,0.9415584415584415,0.9753246753246753,0.9792207792207792
ITGA3,17,5,12,1.0,0.9333333333333333,0.9666666666666667
ITGB3,78,67,11,0.9199457259158751,0.9837177747625508,0.9253731343283582
ITGB4,61,19,42,0.943609022556391,0.9862155388471178,0.9360902255639099
ITGB6,13,5,8,0.875,0.875,0.8250000000000001
ITPR3,22,5,17,0.9529411764705882,0.8470588235294118,0.9647058823529412
IYD,8,3,5,1.0,0.8,0.8
JAG1,101,40,61,0.9491803278688523,0.8860655737704919,0.8782786885245901
JAK1,12,4,8,0.96875,0.96875,1.0
JAK2,20,6,14,0.9642857142857143,0.9285714285714285,0.7738095238095238
JAK3,45,23,22,0.9229249011857708,0.9545454545454546,0.7648221343873517
JAM2,6,3,3,1.0,0.5555555555555556,1.0
JAM3,11,6,5,1.0,0.9,0.9666666666666668
JPH2,24,3,21,0.9047619047619048,0.9682539682539681,0.746031746031746
KAT6A,412,18,394,0.9108855047941342,0.8998166948674562,0.8784545967287083
KAT6B,178,9,169,0.6528599605522682,0.7790927021696252,0.6166995397764629
KAT8,14,11,3,0.4242424242424243,0.7727272727272727,0.5151515151515151
KATNB1,26,4,22,0.9772727272727273,0.8863636363636365,0.9545454545454545
KCNA1,44,40,4,0.94375,1.0,1.0
KCNA2,61,49,12,0.9727891156462585,1.0,0.9744897959183674
KCNA3,21,15,6,0.888888888888889,0.8888888888888888,0.9666666666666667
KCNB1,206,85,121,0.985221195916383,0.9931939718035975,0.9867768595041323
KCNC1,17,12,5,0.9333333333333333,0.9833333333333334,0.9666666666666667
KCNC2,21,17,4,0.9117647058823529,1.0,1.0
KCNC3,27,8,19,0.881578947368421,0.8947368421052632,0.7763157894736842
KCND2,18,9,9,0.962962962962963,1.0,1.0
KCND3,36,26,10,0.95,0.9384615384615385,0.9846153846153847
KCNE1,10,7,3,0.9523809523809524,1.0,0.8571428571428571
KCNH1,94,26,68,0.8942307692307692,0.9304298642533937,0.9332579185520362
KCNH2,191,178,13,0.9468452895419187,0.9822817631806395,0.9390665514261021
KCNH5,62,11,51,0.9572192513368984,0.9839572192513368,0.9465240641711231
KCNJ2,56,52,4,1.0,1.0,0.9903846153846154
KCNJ5,15,7,8,1.0,1.0,1.0
KCNK3,14,9,5,1.0,0.9555555555555555,0.9777777777777779
KCNK4,63,6,57,0.9181286549707603,0.9122807017543859,0.8947368421052632
KCNMA1,25,18,7,1.0,1.0,1.0
