gene_symbol,n,n_pos,n_neg,varity,alphamissense,gmvp,polyphen2,sift
PC,37,12,25,1.0,1.0,1.0,0.9766666666666666,0.9
PCCA,37,30,7,0.9619047619047619,0.8714285714285714,0.9095238095238094,0.9857142857142857,0.8523809523809524
PCDH12,44,3,41,0.991869918699187,1.0,0.991869918699187,0.9471544715447155,0.9024390243902439
PCDH19,95,83,12,0.9949799196787148,0.9829317269076305,0.9688755020080321,0.9497991967871485,0.8639558232931727
PCSK1,15,9,6,0.9814814814814815,1.0,1.0,1.0,0.962962962962963
PCSK9,26,11,15,0.6909090909090909,0.8484848484848485,0.793939393939394,0.6878787878787879,0.6757575757575758
PDE3A,17,3,14,0.9285714285714286,1.0,0.8333333333333334,1.0,0.9285714285714285
PDE4D,23,10,13,1.0,1.0,0.9846153846153847,0.926923076923077,0.8846153846153846
PDE6B,34,23,11,0.9525691699604744,0.9604743083003953,0.841897233201581,0.8774703557312253,0.8359683794466402
PDE6C,23,18,5,1.0,1.0,0.9666666666666667,0.8999999999999999,0.8
PDGFRB,90,9,81,0.9780521262002744,1.0,0.9807956104252401,0.8264746227709191,0.9197530864197531
PEPD,21,6,15,0.9666666666666667,0.8777777777777778,0.9222222222222223,0.888888888888889,0.6277777777777778
PEX1,28,6,22,0.9924242424242424,0.9696969696969696,0.9545454545454545,0.962121212121212,0.9318181818181818
PEX6,22,10,12,0.9333333333333333,0.9333333333333333,0.8083333333333333,0.9416666666666667,0.9333333333333333
PGAP3,16,7,9,1.0,1.0,1.0,0.9365079365079365,0.9126984126984127
PGK1,24,7,17,0.8739495798319327,0.9327731092436974,0.8907563025210083,0.7815126050420167,0.8697478991596639
PHEX,122,94,28,0.976063829787234,0.9705547112462005,0.9722644376899696,0.9090045592705167,0.9441489361702129
PHF6,9,6,3,0.7222222222222223,0.888888888888889,0.6666666666666667,0.6666666666666667,0.8333333333333334
PHGDH,6,3,3,0.6666666666666667,0.7777777777777779,0.7777777777777779,0.6666666666666667,0.6666666666666667
PHIP,71,18,53,0.9150943396226414,0.9486373165618449,0.9423480083857443,0.7578616352201258,0.8563941299790356
PHKA2,59,14,45,0.9380952380952381,0.9587301587301588,0.919047619047619,0.8960317460317461,0.7904761904761904
PIEZO1,114,10,104,0.898076923076923,0.9211538461538461,0.903846153846154,0.8692307692307693,0.8894230769230769
PIGA,30,13,17,0.9683257918552035,0.9728506787330317,0.8823529411764706,0.9502262443438914,0.9705882352941176
PIGL,6,3,3,1.0,1.0,1.0,1.0,1.0
PIGN,19,11,8,0.8409090909090909,0.8863636363636364,0.9090909090909091,0.8806818181818181,0.7613636363636364
PIGO,14,3,11,0.9090909090909091,1.0,0.9393939393939393,1.0,0.9090909090909091
PIGS,15,3,12,0.9444444444444444,0.8333333333333333,0.9722222222222222,0.875,0.8888888888888888
PIGV,7,4,3,0.6666666666666667,0.9166666666666667,0.9166666666666667,1.0,0.8333333333333334
PIK3CA,54,49,5,0.8612244897959184,0.8489795918367348,0.8612244897959184,0.9510204081632654,0.936734693877551
PIK3CD,32,9,23,0.9806763285024155,1.0,0.8115942028985508,0.855072463768116,0.9782608695652174
PIK3CG,14,3,11,0.8181818181818181,0.9090909090909091,0.9696969696969697,0.8787878787878787,0.6666666666666666
PIK3R2,29,3,26,0.7307692307692307,0.9358974358974359,0.8333333333333333,0.8717948717948718,0.8525641025641025
PKD1,241,79,162,0.9563994374120955,0.9724957024535085,0.960696983903735,0.8596265041412722,0.9390529770276606
PKD2,22,10,12,0.9416666666666667,0.9583333333333335,1.0,0.7916666666666666,0.9208333333333334
PKHD1,131,90,41,0.9447154471544715,0.9598915989159892,0.9303523035230352,0.9130081300813007,0.9670731707317073
PLA2G6,52,48,4,0.9947916666666666,0.9895833333333333,1.0,1.0,0.9947916666666666
PLAA,6,3,3,1.0,1.0,1.0,1.0,1.0
PLCB4,13,6,7,1.0,1.0,1.0,0.7023809523809523,0.6428571428571428
PLCE1,27,3,24,1.0,1.0,1.0,1.0,0.9583333333333334
PLCZ1,8,3,5,1.0,1.0,1.0,1.0,1.0
PLD1,21,5,16,1.0,1.0,1.0,0.95,0.875
PLP1,25,20,5,0.7000000000000001,0.84,0.8099999999999999,0.6499999999999999,0.63
PMP22,20,17,3,0.9803921568627452,1.0,1.0,0.9411764705882353,0.9215686274509803
PMPCA,8,3,5,0.9333333333333333,0.7333333333333333,0.8666666666666667,1.0,0.9
PMS2,40,16,24,0.9739583333333333,0.9947916666666667,0.9791666666666665,0.9739583333333334,0.9895833333333333
PNP,8,5,3,1.0,1.0,1.0,1.0,0.8333333333333334
PNPLA2,11,4,7,0.9642857142857143,1.0,1.0,0.8928571428571428,0.8928571428571428
PNPT1,17,11,6,0.9848484848484849,0.9848484848484849,1.0,0.9242424242424242,0.9166666666666666
POC1A,9,4,5,0.85,0.9,0.8,0.75,0.9
POGZ,67,5,62,0.8483870967741935,0.8612903225806452,0.8,0.8048387096774193,0.8951612903225806
POLE,41,7,34,0.907563025210084,0.9033613445378151,0.8865546218487395,0.8970588235294118,0.8802521008403361
POLG,80,69,11,0.9907773386034255,0.9960474308300395,0.9762845849802372,0.9789196310935441,0.8985507246376812
POLK,19,15,4,0.7333333333333333,1.0,0.9166666666666666,0.9416666666666667,0.8666666666666667
POLR1C,10,7,3,1.0,1.0,1.0,1.0,0.8571428571428572
POLR3A,18,12,6,0.9583333333333334,1.0,0.8750000000000001,0.9027777777777778,0.8055555555555556
POLR3B,16,11,5,0.9636363636363636,0.9272727272727272,0.8363636363636364,0.9636363636363636,0.8818181818181818
POMT2,15,9,6,1.0,1.0,1.0,0.9814814814814815,0.8333333333333334
PORCN,22,8,14,0.9553571428571428,1.0,1.0,0.8616071428571428,0.8616071428571429
POT1,14,3,11,1.0,1.0,1.0,0.9696969696969697,1.0
POU3F3,19,14,5,0.9571428571428572,0.9714285714285715,0.9857142857142858,0.8999999999999999,0.9
PPA2,15,6,9,1.0,1.0,1.0,1.0,0.9259259259259259
PPP2CA,11,5,6,0.8666666666666667,1.0,0.8,0.8666666666666667,0.8333333333333334
PPP2R1A,32,12,20,0.8875000000000001,0.9458333333333333,0.8583333333333333,0.8291666666666666,0.8125
PPP2R5D,16,11,5,0.8363636363636363,0.8636363636363636,0.7636363636363637,0.8818181818181818,0.6545454545454545
PQBP1,8,3,5,1.0,1.0,1.0,1.0,1.0
PRF1,44,41,3,1.0,0.983739837398374,0.967479674796748,0.983739837398374,0.9634146341463415
PRKAG2,27,14,13,1.0,1.0,1.0,0.9285714285714286,0.9532967032967034
PRKAR1B,10,5,5,0.8,0.7600000000000001,0.88,0.8,0.8600000000000001
PRKCG,40,35,5,0.9942857142857143,1.0,1.0,0.9942857142857142,0.9
PRKN,13,3,10,1.0,1.0,0.8333333333333333,0.85,0.8666666666666667
PRMT7,12,4,8,1.0,1.0,0.96875,0.96875,0.96875
PROM1,17,8,9,0.8333333333333334,0.8611111111111112,0.7777777777777778,0.8472222222222222,0.875
PROP1,9,5,4,0.9,0.95,1.0,0.75,0.95
PRPF3,12,6,6,1.0,0.9722222222222223,0.9166666666666667,1.0,1.0
PRPF8,28,25,3,0.6133333333333334,0.5466666666666667,0.5866666666666667,0.68,0.44
PRRT2,28,11,17,1.0,1.0,1.0,0.9839572192513368,0.8957219251336898
PRSS1,19,4,15,0.75,0.6666666666666667,0.7666666666666667,0.6916666666666667,0.6833333333333333
PRSS56,17,7,10,0.9571428571428572,1.0,1.0,0.9714285714285714,0.9428571428571428
PSAP,15,7,8,0.9821428571428571,0.9642857142857143,0.9285714285714286,0.8571428571428571,0.9107142857142857
PSEN1,39,36,3,0.6296296296296297,0.6666666666666667,0.5833333333333334,0.6898148148148149,0.6712962962962963
PSMB8,13,4,9,0.9166666666666667,0.9722222222222222,0.9722222222222222,0.875,0.8611111111111112
PTCH1,148,36,112,0.9811507936507937,0.9830109126984127,0.9789186507936508,0.9532490079365079,0.8675595238095238
PTDSS1,19,4,15,0.65,0.7333333333333333,0.75,0.8,0.6166666666666667
PTEN,195,188,7,0.9969604863221885,0.9984802431610942,0.993920972644377,0.9274316109422494,0.976063829787234
PTH1R,10,5,5,1.0,1.0,1.0,1.0,1.0
PTPN11,53,47,6,0.9007092198581561,0.9787234042553191,0.7446808510638299,0.9609929078014184,0.9645390070921985
PUM1,13,3,10,0.8333333333333333,1.0,0.8333333333333333,0.7666666666666666,0.65
PURA,49,30,19,0.9210526315789473,0.9464912280701755,0.9403508771929826,0.9456140350877194,0.887719298245614
PYCR2,11,8,3,1.0,0.9583333333333334,0.7500000000000001,0.7916666666666667,0.8333333333333334
PYGL,13,8,5,0.875,0.9750000000000001,0.8,0.825,0.6
PYGM,31,27,4,0.9722222222222222,0.9629629629629629,0.962962962962963,1.0,0.699074074074074
RAB3GAP2,13,3,10,1.0,0.9333333333333333,0.9666666666666667,1.0,0.9
RAD21,15,5,10,1.0,1.0,0.98,0.8200000000000001,1.0
RAD51C,68,14,54,0.9497354497354498,0.92989417989418,0.9642857142857142,0.9457671957671958,0.8849206349206349
RAF1,39,26,13,0.9822485207100591,0.9911242603550295,0.9792899408284024,0.9585798816568047,0.886094674556213
RAG1,48,37,11,0.9164619164619164,0.9901719901719901,0.9484029484029484,0.8992628992628993,0.9447174447174447
RAG2,55,47,8,0.9308510638297872,0.9414893617021276,0.9946808510638298,0.913563829787234,0.9946808510638299
RAI1,312,5,307,0.7583061889250815,0.8182410423452768,0.7504885993485342,0.6416938110749186,0.7677524429967427
